interval_from,interval_to,hcho_B0_min,hcho_B0_max,hcho_B0_mean,hcho_B0_stDev,hcho_B0_sampleCount,hcho_B0_noDataCount,shapefile,NUTS_ID,year,month,month_num
2021-03-01,2021-04-01,-0.00031709164613857865,0.0006459638825617731,0.00012990875888734752,0.0001537889756751399,65536,33749,NUTS_SL_01m_2024.shp,SI,2021,March,3
2021-04-01,2021-05-01,-0.00032326907967217267,0.0003912999527528882,1.912431077841409e-05,0.00011298368886314782,65536,57394,NUTS_SL_01m_2024.shp,SI,2021,April,4
2021-05-01,2021-06-01,-0.0002675122523214668,0.00030099463765509427,2.2944730393167723e-05,7.938870596255818e-05,65536,56546,NUTS_SL_01m_2024.shp,SI,2021,May,5
2021-06-01,2021-07-01,-0.0003676421765703708,0.0006195532041601837,0.00010053409418669516,0.00014134676207378283,65536,35129,NUTS_SL_01m_2024.shp,SI,2021,June,6
2021-07-01,2021-08-01,-0.0003601056814659387,0.0008202622411772609,0.0001711664838523221,0.00015651506396694237,65536,40072,NUTS_SL_01m_2024.shp,SI,2021,July,7
2021-08-01,2021-09-01,-0.00030623990460298955,0.0004901354550383985,7.127168927162028e-05,0.00013315559886224005,65536,43231,NUTS_SL_01m_2024.shp,SI,2021,August,8
2021-09-01,2021-10-01,-0.0002770625869743526,0.0002829208970069885,4.339409677378215e-05,8.846947573617549e-05,65536,56199,NUTS_SL_01m_2024.shp,SI,2021,September,9
2021-10-01,2021-11-01,-0.00032593042124062777,0.0006030782824382186,6.119352477931678e-05,0.00020527093987328124,65536,63914,NUTS_SL_01m_2024.shp,SI,2021,October,10
2021-11-01,2021-12-01,-0.0005982427392154932,0.000706176389940083,3.338841024110302e-05,0.00026592935470489646,65536,60167,NUTS_SL_01m_2024.shp,SI,2021,November,11
2021-12-01,2022-01-01,-0.0005207241629250348,0.0007408665842376649,1.798198197092402e-05,0.00017213803959440155,65536,40167,NUTS_SL_01m_2024.shp,SI,2021,December,12
2022-01-01,2022-02-01,-0.00028585747350007296,0.0003036122943740338,5.2638411112117974e-05,0.00024091045647213716,65536,65337,NUTS_SL_01m_2024.shp,SI,2022,January,1
2022-02-01,2022-03-01,-0.0003367094905115664,0.000513928011059761,3.824124956546059e-05,0.0001373102038469187,65536,49001,NUTS_SL_01m_2024.shp,SI,2022,February,2
2022-04-01,2022-05-01,-0.0003079109010286629,0.00044561695540323853,6.684641410450115e-05,0.00013188414820249997,65536,33267,NUTS_SL_01m_2024.shp,SI,2022,April,4
2022-05-01,2022-06-01,-0.0003123439382761717,0.0005561931757256389,6.807712033732133e-05,0.00011648326240950689,65536,46093,NUTS_SL_01m_2024.shp,SI,2022,May,5
2022-06-01,2022-07-01,-0.00014401579392142594,0.0003961478651035577,8.489020776341442e-05,8.429963496629695e-05,65536,44177,NUTS_SL_01m_2024.shp,SI,2022,June,6
2022-07-01,2022-08-01,-0.00017986854072660208,0.00033688757685013115,5.2561924877955885e-05,9.578371459404712e-05,65536,54231,NUTS_SL_01m_2024.shp,SI,2022,July,7
2022-08-01,2022-09-01,-0.00018611007544677705,0.0006235650507733226,0.00015331585723609985,0.0001459530836848677,65536,60235,NUTS_SL_01m_2024.shp,SI,2022,August,8
2022-09-01,2022-10-01,-0.0002374681062065065,0.0004125599516555667,6.509710980368434e-05,0.00013291993516453422,65536,59525,NUTS_SL_01m_2024.shp,SI,2022,September,9
2022-10-01,2022-11-01,-0.0004462014767341316,0.0005944620352238417,4.070369706232239e-05,0.00016649265383750114,65536,35135,NUTS_SL_01m_2024.shp,SI,2022,October,10
2022-12-01,2023-01-01,-0.000564084853976965,0.0006251985323615372,3.8896508437465397e-05,0.00019576451655137065,65536,42151,NUTS_SL_01m_2024.shp,SI,2022,December,12
2023-01-01,2023-02-01,-0.0003797114477492869,0.00045253781718201935,2.3352500344524953e-05,0.00014784423874739905,65536,55689,NUTS_SL_01m_2024.shp,SI,2023,January,1
2023-02-01,2023-03-01,-0.0002954931405838579,0.0003723176778294146,5.294843494122406e-05,0.00013543209425623194,65536,62009,NUTS_SL_01m_2024.shp,SI,2023,February,2
2023-03-01,2023-04-01,-0.00025654907221905887,0.00023501126270275563,-3.912704748463778e-05,0.00015385590353715094,65536,65227,NUTS_SL_01m_2024.shp,SI,2023,March,3
2023-04-01,2023-05-01,-0.00017281682812608778,0.00019801026792265475,2.1160819721617106e-05,6.2847260531581e-05,65536,58286,NUTS_SL_01m_2024.shp,SI,2023,April,4
2023-05-01,2023-06-01,-4.3462758185341954e-05,0.00017416093032807112,4.6005564744216246e-05,4.4611431833380615e-05,65536,63525,NUTS_SL_01m_2024.shp,SI,2023,May,5
2023-06-01,2023-07-01,-0.00024094764376059175,0.0005243039922788739,0.00014382801145304173,0.00013072596639432206,65536,33760,NUTS_SL_01m_2024.shp,SI,2023,June,6
2023-07-01,2023-08-01,-0.0004123173130210489,0.0005974090308882296,6.171135869585613e-05,0.00012567700223350872,65536,46943,NUTS_SL_01m_2024.shp,SI,2023,July,7
