interval_from,interval_to,co_B0_min,co_B0_max,co_B0_mean,co_B0_stDev,co_B0_sampleCount,co_B0_noDataCount,shapefile,NUTS_ID,year,month,month_num
2018-05-01,2018-06-01,0.02134258672595024,0.03498857840895653,0.02874891165224961,0.002623750639762144,65536,42472,NUTS_SL_01m_2024.shp,SI,2018,May,5
2018-06-01,2018-07-01,0.01986878551542759,0.032230086624622345,0.027105986365707303,0.0023685866872171523,65536,42228,NUTS_SL_01m_2024.shp,SI,2018,June,6
2018-07-01,2018-08-01,0.02126809023320675,0.03510229289531708,0.02756687376914142,0.002412449290471159,65536,36204,NUTS_SL_01m_2024.shp,SI,2018,July,7
2018-09-01,2018-10-01,0.01795382983982563,0.034868888556957245,0.027708497521086867,0.0025777295480519124,65536,35054,NUTS_SL_01m_2024.shp,SI,2018,September,9
2018-10-01,2018-11-01,0.02077094465494156,0.032242149114608765,0.026472270241384106,0.002303686277634677,65536,35912,NUTS_SL_01m_2024.shp,SI,2018,October,10
2018-12-01,2019-01-01,0.022734712809324265,0.03925668075680733,0.03108608929947737,0.0029810618506066495,65536,43970,NUTS_SL_01m_2024.shp,SI,2018,December,12
2019-01-01,2019-02-01,0.02297959104180336,0.03656044602394104,0.02942587978309278,0.002512554292514981,65536,46483,NUTS_SL_01m_2024.shp,SI,2019,January,1
2019-03-01,2019-04-01,0.02502044104039669,0.040659692138433456,0.034157459852893146,0.0030179099806314814,65536,40810,NUTS_SL_01m_2024.shp,SI,2019,March,3
2019-04-01,2019-05-01,0.026890544220805168,0.040008123964071274,0.03335760709108997,0.0024467190403567865,65536,53866,NUTS_SL_01m_2024.shp,SI,2019,April,4
2019-05-01,2019-06-01,0.02436579205095768,0.03526989370584488,0.028823431742847055,0.0020839595054370254,65536,57029,NUTS_SL_01m_2024.shp,SI,2019,May,5
2019-06-01,2019-07-01,0.015394577756524086,0.03223272040486336,0.025458553367725803,0.002511047261984802,65536,38061,NUTS_SL_01m_2024.shp,SI,2019,June,6
2019-07-01,2019-08-01,0.021636558696627617,0.03742716461420059,0.030308057697552276,0.0024644661848167953,65536,38035,NUTS_SL_01m_2024.shp,SI,2019,July,7
2019-08-01,2019-09-01,0.0204068161547184,0.03801613673567772,0.031025958628147166,0.003217677646484488,65536,36138,NUTS_SL_01m_2024.shp,SI,2019,August,8
2019-09-01,2019-10-01,0.02372766099870205,0.031284820288419724,0.028168756660997506,0.0018627592410669295,65536,58542,NUTS_SL_01m_2024.shp,SI,2019,September,9
2019-10-01,2019-11-01,0.021559227257966995,0.03525766730308533,0.027670151686625392,0.0021296396730266973,65536,38294,NUTS_SL_01m_2024.shp,SI,2019,October,10
2019-11-01,2019-12-01,0.02242201380431652,0.03618389368057251,0.028576590705578025,0.002236415031374774,65536,39838,NUTS_SL_01m_2024.shp,SI,2019,November,11
2019-12-01,2020-01-01,0.021824685856699944,0.0368180051445961,0.029736801516264677,0.0023972446121759746,65536,53460,NUTS_SL_01m_2024.shp,SI,2019,December,12
2020-01-01,2020-02-01,0.031703073531389236,0.03550254926085472,0.03301176642180306,0.0013062747494289645,65536,64808,NUTS_SL_01m_2024.shp,SI,2020,January,1
2020-02-01,2020-03-01,0.023658649995923042,0.03698531910777092,0.030867335540428767,0.0019800459142424445,65536,55536,NUTS_SL_01m_2024.shp,SI,2020,February,2
2020-03-01,2020-04-01,0.02270611934363842,0.03958957642316818,0.03253631337568494,0.0028068128864277854,65536,38248,NUTS_SL_01m_2024.shp,SI,2020,March,3
2020-04-01,2020-05-01,0.03032848611474037,0.0377824530005455,0.03453525098161467,0.0018924026842011344,65536,57099,NUTS_SL_01m_2024.shp,SI,2020,April,4
2020-05-01,2020-06-01,0.021822206676006317,0.03822595253586769,0.0301271770795803,0.002902871693494286,65536,46314,NUTS_SL_01m_2024.shp,SI,2020,May,5
2020-06-01,2020-07-01,0.01997426524758339,0.031502801924943924,0.02606142409165148,0.0021479811505056966,65536,40864,NUTS_SL_01m_2024.shp,SI,2020,June,6
2020-07-01,2020-08-01,0.02143915556371212,0.03628773242235184,0.029133297615718326,0.003429456400665935,65536,51408,NUTS_SL_01m_2024.shp,SI,2020,July,7
2020-09-01,2020-10-01,0.023796217516064644,0.04017755761742592,0.03177255544350603,0.003037506449704869,65536,42119,NUTS_SL_01m_2024.shp,SI,2020,September,9
