interval_from,interval_to,no2_B0_min,no2_B0_max,no2_B0_mean,no2_B0_stDev,no2_B0_sampleCount,no2_B0_noDataCount,shapefile,NUTS_ID,year,month,month_num
2024-08-01,2024-09-01,-6.964451131352689e-06,5.339652125257999e-05,2.464193369858924e-05,9.115233608345846e-06,65536,35431,NUTS_SL_01m_2024.shp,SI,2024,August,8
2024-09-01,2024-10-01,-1.7086704247049056e-05,8.750812412472442e-05,2.0890859154287768e-05,1.17462801897854e-05,65536,33745,NUTS_SL_01m_2024.shp,SI,2024,September,9
2024-10-01,2024-11-01,-4.488912964006886e-06,9.393133950652555e-05,3.724411726581605e-05,1.636243579160547e-05,65536,36559,NUTS_SL_01m_2024.shp,SI,2024,October,10
2024-11-01,2024-12-01,1.3091588698443957e-05,9.120635513681918e-05,5.070146199218931e-05,1.5478923938775633e-05,65536,35654,NUTS_SL_01m_2024.shp,SI,2024,November,11
2024-12-01,2025-01-01,3.9094688872864936e-06,0.00017608933558221906,5.2397179704413324e-05,2.6853600849132647e-05,65536,36464,NUTS_SL_01m_2024.shp,SI,2024,December,12
2018-04-01,2018-05-01,1.2166790838818997e-05,3.524143903632648e-05,2.302982091555708e-05,7.2299153178317554e-06,65536,64347,NUTS_SL_01m_2024.shp,SI0,2018,April,4
2018-05-01,2018-06-01,7.084099138410238e-07,5.896808215766214e-05,2.2156967459971902e-05,8.888418447060522e-06,65536,48694,NUTS_SL_01m_2024.shp,SI0,2018,May,5
2018-06-01,2018-07-01,-7.313522587537591e-07,5.544632949749939e-05,2.5957360037549286e-05,9.387778101028264e-06,65536,51692,NUTS_SL_01m_2024.shp,SI0,2018,June,6
2018-07-01,2018-08-01,3.82196640202892e-06,5.518964462680742e-05,2.8039988150333352e-05,6.670872296067839e-06,65536,36664,NUTS_SL_01m_2024.shp,SI0,2018,July,7
2018-09-01,2018-10-01,-1.4307333913166076e-05,4.990354136680253e-05,1.997463729675409e-05,1.0329655740435917e-05,65536,31777,NUTS_SL_01m_2024.shp,SI0,2018,September,9
2018-10-01,2018-11-01,-3.964540610468248e-06,7.960617949720472e-05,2.860526009480371e-05,1.2249070124951895e-05,65536,43523,NUTS_SL_01m_2024.shp,SI0,2018,October,10
2018-12-01,2019-01-01,-1.8156852092943154e-05,0.00010284154996043071,4.3887768222782306e-05,2.382502246193797e-05,65536,49207,NUTS_SL_01m_2024.shp,SI0,2018,December,12
2019-01-01,2019-02-01,9.577950550010428e-06,8.960538252722472e-05,2.9324711411691867e-05,1.4485426691178973e-05,65536,63607,NUTS_SL_01m_2024.shp,SI0,2019,January,1
2019-02-01,2019-03-01,1.6714784578653052e-05,7.180608372436836e-05,4.433259351799285e-05,1.3148804062498575e-05,65536,63712,NUTS_SL_01m_2024.shp,SI0,2019,February,2
2019-03-01,2019-04-01,-1.1570649803616107e-05,0.00012869392230641097,2.7102147535607313e-05,1.4868266879806719e-05,65536,31739,NUTS_SL_01m_2024.shp,SI0,2019,March,3
2019-04-01,2019-05-01,2.4912682420108467e-05,2.4912682420108467e-05,2.4912682420108467e-05,0.0,65536,65474,NUTS_SL_01m_2024.shp,SI0,2019,April,4
2019-05-01,2019-06-01,1.9132776287733577e-05,4.9327456508763134e-05,3.3812575829164307e-05,6.55727539535229e-06,65536,63745,NUTS_SL_01m_2024.shp,SI0,2019,May,5
2019-06-01,2019-07-01,-1.4301393775895122e-06,6.853285594843328e-05,2.303337928007266e-05,8.530910570490977e-06,65536,31731,NUTS_SL_01m_2024.shp,SI0,2019,June,6
2019-07-01,2019-08-01,-1.3431940715236124e-05,5.02732909808401e-05,1.817736004825e-05,1.1059115942100212e-05,65536,50709,NUTS_SL_01m_2024.shp,SI0,2019,July,7
2019-08-01,2019-09-01,-3.571226443455089e-06,6.277732609305531e-05,2.5560335539540874e-05,8.098720051540228e-06,65536,38649,NUTS_SL_01m_2024.shp,SI0,2019,August,8
2019-09-01,2019-10-01,-1.527223162156588e-06,6.919854786247015e-05,3.470128516891765e-05,1.170315463809029e-05,65536,47427,NUTS_SL_01m_2024.shp,SI0,2019,September,9
2019-10-01,2019-11-01,3.7809227251273114e-06,4.990083471057005e-05,2.5233468065848342e-05,1.0525838135762269e-05,65536,62800,NUTS_SL_01m_2024.shp,SI0,2019,October,10
2019-11-01,2019-12-01,2.597868842713069e-06,0.0001229796325787902,5.921350012529598e-05,1.8700826587646878e-05,65536,50413,NUTS_SL_01m_2024.shp,SI0,2019,November,11
2019-12-01,2020-01-01,-8.246971447078977e-06,0.00015529413940384984,4.6666909087594025e-05,2.1969444041509087e-05,65536,35016,NUTS_SL_01m_2024.shp,SI0,2019,December,12
2020-01-01,2020-02-01,1.270208213099977e-05,0.00019506448006723076,4.3943338903210714e-05,1.8532967858372753e-05,65536,58990,NUTS_SL_01m_2024.shp,SI0,2020,January,1
2020-02-01,2020-03-01,-2.2271649413596606e-06,8.206882193917409e-05,3.6945534565682e-05,1.6618935475815557e-05,65536,58026,NUTS_SL_01m_2024.shp,SI0,2020,February,2
2020-03-01,2020-04-01,8.688776915732888e-07,6.277143256738782e-05,2.4610455453243415e-05,9.34843309081385e-06,65536,51161,NUTS_SL_01m_2024.shp,SI0,2020,March,3
2020-04-01,2020-05-01,1.0949912393698469e-05,6.367424066411331e-05,2.915656511797295e-05,8.342215445189918e-06,65536,62728,NUTS_SL_01m_2024.shp,SI0,2020,April,4
2020-05-01,2020-06-01,5.106764092488447e-06,5.106764092488447e-06,5.106764092488447e-06,0.0,65536,65497,NUTS_SL_01m_2024.shp,SI0,2020,May,5
2020-06-01,2020-07-01,-6.798175604671997e-07,4.819199239136651e-05,2.129052959796408e-05,8.95949447533092e-06,65536,47571,NUTS_SL_01m_2024.shp,SI0,2020,June,6
2020-07-01,2020-08-01,-1.6573743550907238e-06,5.499513281392865e-05,2.5011259615909315e-05,1.051053166605278e-05,65536,53265,NUTS_SL_01m_2024.shp,SI0,2020,July,7
2020-09-01,2020-10-01,-1.1538714716152754e-05,0.00014052350888960063,3.73144365545227e-05,1.6637444995617933e-05,65536,39196,NUTS_SL_01m_2024.shp,SI0,2020,September,9
2020-10-01,2020-11-01,-2.5344081223011017e-05,0.0001072465893230401,2.1024438126435634e-05,1.4406837725055173e-05,65536,32209,NUTS_SL_01m_2024.shp,SI0,2020,October,10
2020-11-01,2020-12-01,3.5974333059130004e-06,8.841648377710953e-05,4.158140345212937e-05,1.7795978204834295e-05,65536,46611,NUTS_SL_01m_2024.shp,SI0,2020,November,11
2020-12-01,2021-01-01,3.24349821312353e-05,7.929580169729888e-05,5.6231862038267426e-05,1.5451789016163137e-05,65536,65007,NUTS_SL_01m_2024.shp,SI0,2020,December,12
2021-02-01,2021-03-01,1.4153541769701405e-06,6.08079026278574e-05,3.064832625806858e-05,1.0968192861460753e-05,65536,41911,NUTS_SL_01m_2024.shp,SI0,2021,February,2
2021-03-01,2021-04-01,-1.280989181395853e-05,0.00011279536556685343,2.8831637384819057e-05,1.59151721440673e-05,65536,32142,NUTS_SL_01m_2024.shp,SI0,2021,March,3
2021-04-01,2021-05-01,-9.257123565475922e-06,7.391483813989908e-05,1.7508799897455668e-05,1.2576528952574756e-05,65536,59031,NUTS_SL_01m_2024.shp,SI0,2021,April,4
2021-05-01,2021-06-01,2.569151547504589e-06,4.857711246586405e-05,2.4428179765442916e-05,1.0330260195612002e-05,65536,59740,NUTS_SL_01m_2024.shp,SI0,2021,May,5
2021-06-01,2021-07-01,-1.9976623661932535e-05,6.27098124823533e-05,1.7998383746188102e-05,1.219229526066977e-05,65536,40949,NUTS_SL_01m_2024.shp,SI0,2021,June,6
2021-07-01,2021-08-01,-1.2337917723925784e-05,5.844624320161529e-05,2.252856947233634e-05,1.17421835676416e-05,65536,42427,NUTS_SL_01m_2024.shp,SI0,2021,July,7
2021-08-01,2021-09-01,-8.432669346802868e-06,9.438611596124247e-05,2.763233963801892e-05,1.3419156544339584e-05,65536,47117,NUTS_SL_01m_2024.shp,SI0,2021,August,8
2021-09-01,2021-10-01,-9.047763342096005e-06,3.703905167640187e-05,2.018759979122055e-05,8.653841000190568e-06,65536,57353,NUTS_SL_01m_2024.shp,SI0,2021,September,9
2021-10-01,2021-11-01,6.9484040068346076e-06,7.501980871893466e-05,3.447227610354137e-05,1.3249335452023768e-05,65536,61927,NUTS_SL_01m_2024.shp,SI0,2021,October,10
2021-11-01,2021-12-01,1.4796049754295382e-06,0.00014888662553858012,4.1989815381792054e-05,3.097526890408809e-05,65536,60882,NUTS_SL_01m_2024.shp,SI0,2021,November,11
2021-12-01,2022-01-01,-2.2002637706464157e-05,0.0001942707458510995,4.580417192145607e-05,2.2349177457274592e-05,65536,33828,NUTS_SL_01m_2024.shp,SI0,2021,December,12
2022-01-01,2022-02-01,2.3468828658224083e-05,5.9717123804148287e-05,4.3527289158213445e-05,1.492769543792863e-05,65536,65327,NUTS_SL_01m_2024.shp,SI0,2022,January,1
2022-02-01,2022-03-01,5.229823727859184e-06,0.0001160697138402611,4.714276709586367e-05,1.9706862931527752e-05,65536,48095,NUTS_SL_01m_2024.shp,SI0,2022,February,2
2022-04-01,2022-05-01,-9.41641610552324e-06,5.126400719746016e-05,2.0754766112559603e-05,9.924669821228583e-06,65536,36095,NUTS_SL_01m_2024.shp,SI0,2022,April,4
2022-05-01,2022-06-01,-1.05642111520865e-05,7.248984911711887e-05,2.2032674433655487e-05,1.1603864918973952e-05,65536,51193,NUTS_SL_01m_2024.shp,SI0,2022,May,5
2022-06-01,2022-07-01,5.068795303486695e-07,5.574895840254612e-05,2.2238572343730392e-05,9.23583868037629e-06,65536,48380,NUTS_SL_01m_2024.shp,SI0,2022,June,6
2022-07-01,2022-08-01,2.9260954761411995e-06,5.520452032214962e-05,2.429431408624003e-05,9.808567067682443e-06,65536,56291,NUTS_SL_01m_2024.shp,SI0,2022,July,7
2022-08-01,2022-09-01,1.0879058208956849e-05,5.925346340518445e-05,3.648533536728721e-05,1.0583990208421046e-05,65536,61214,NUTS_SL_01m_2024.shp,SI0,2022,August,8
2022-09-01,2022-10-01,-7.468253443221329e-06,5.454173151520081e-05,2.2082699102517304e-05,1.1508852955676862e-05,65536,61015,NUTS_SL_01m_2024.shp,SI0,2022,September,9
2022-10-01,2022-11-01,-4.837062874685216e-07,0.0001270412321900949,3.584061806085896e-05,1.5414279349418867e-05,65536,35326,NUTS_SL_01m_2024.shp,SI0,2022,October,10
2022-12-01,2023-01-01,-4.1328308725496754e-05,8.094216900644824e-05,2.0057866425878222e-05,2.0507954551530594e-05,65536,44603,NUTS_SL_01m_2024.shp,SI0,2022,December,12
2023-01-01,2023-02-01,-4.844838713324862e-06,0.000180135975824669,4.2411463492442896e-05,2.4229322841037965e-05,65536,48554,NUTS_SL_01m_2024.shp,SI0,2023,January,1
2023-02-01,2023-03-01,-1.9387678548810072e-05,5.17407497682143e-05,1.9928799107363773e-05,1.4271793809474512e-05,65536,62383,NUTS_SL_01m_2024.shp,SI0,2023,February,2
2023-03-01,2023-04-01,1.4784897757635918e-05,2.5283916329499334e-05,1.9767887408211695e-05,3.3085190222910815e-06,65536,65019,NUTS_SL_01m_2024.shp,SI0,2023,March,3
2023-04-01,2023-05-01,3.095762224347709e-07,3.739239036804065e-05,1.7046986114527392e-05,7.829649905665357e-06,65536,59731,NUTS_SL_01m_2024.shp,SI0,2023,April,4
2023-05-01,2023-06-01,2.5617540813982487e-05,3.528332308633253e-05,2.9999477722812567e-05,3.1001704154792105e-06,65536,64751,NUTS_SL_01m_2024.shp,SI0,2023,May,5
2023-06-01,2023-07-01,4.7433563850063365e-06,0.00010031888814410195,3.6847930657265995e-05,1.0742748866122926e-05,65536,35287,NUTS_SL_01m_2024.shp,SI0,2023,June,6
2023-07-01,2023-08-01,-1.4002067473484203e-05,5.1214563427492976e-05,1.5150450143031054e-05,1.089450649623392e-05,65536,51377,NUTS_SL_01m_2024.shp,SI0,2023,July,7
2023-08-01,2023-09-01,-1.1858594007208012e-05,4.539616929832846e-05,1.1164985981432923e-05,8.719741356184594e-06,65536,50226,NUTS_SL_01m_2024.shp,SI0,2023,August,8
2023-09-01,2023-10-01,-4.280069788364926e-06,5.462398621602915e-05,2.30482690393382e-05,1.094120400806931e-05,65536,55486,NUTS_SL_01m_2024.shp,SI0,2023,September,9
2023-10-01,2023-11-01,-2.1819003450218588e-05,7.138415821827948e-05,2.6765086696609292e-05,1.5810563806537413e-05,65536,58726,NUTS_SL_01m_2024.shp,SI0,2023,October,10
2023-12-01,2024-01-01,-2.861012262656004e-06,5.925823643337935e-05,2.3820242388917798e-05,1.4159521948176023e-05,65536,62588,NUTS_SL_01m_2024.shp,SI0,2023,December,12
2024-01-01,2024-02-01,1.1666357750073075e-05,0.00014531463966704905,6.810808846523934e-05,2.3331863044689816e-05,65536,52159,NUTS_SL_01m_2024.shp,SI0,2024,January,1
2024-02-01,2024-03-01,1.5400581105495803e-05,9.032418165588751e-05,4.65558703763453e-05,2.2566966516279524e-05,65536,64697,NUTS_SL_01m_2024.shp,SI0,2024,February,2
2024-03-01,2024-04-01,5.390612386690918e-06,3.510378155624494e-05,2.0281180341107968e-05,7.309591395486324e-06,65536,64682,NUTS_SL_01m_2024.shp,SI0,2024,March,3
2024-04-01,2024-05-01,-1.0329023098165635e-05,6.847999611636624e-05,2.976103912768152e-05,1.070223526900427e-05,65536,32404,NUTS_SL_01m_2024.shp,SI0,2024,April,4
2024-05-01,2024-06-01,-5.349205821403302e-06,6.714335904689506e-05,2.6599188263409657e-05,1.0967709900599068e-05,65536,61410,NUTS_SL_01m_2024.shp,SI0,2024,May,5
2024-06-01,2024-07-01,-9.471219527767971e-06,3.4318920370424166e-05,1.409514887253879e-05,8.337929731652799e-06,65536,46319,NUTS_SL_01m_2024.shp,SI0,2024,June,6
2024-07-01,2024-08-01,-6.110182312113466e-06,3.898073919117451e-05,1.8489700409533227e-05,6.586697284643916e-06,65536,31734,NUTS_SL_01m_2024.shp,SI0,2024,July,7
2024-08-01,2024-09-01,-6.964451131352689e-06,5.339652125257999e-05,2.464193369858924e-05,9.115233608345846e-06,65536,35431,NUTS_SL_01m_2024.shp,SI0,2024,August,8
2024-09-01,2024-10-01,-1.7086704247049056e-05,8.750812412472442e-05,2.0890859154287768e-05,1.17462801897854e-05,65536,33745,NUTS_SL_01m_2024.shp,SI0,2024,September,9
2024-10-01,2024-11-01,-4.488912964006886e-06,9.393133950652555e-05,3.724411726581605e-05,1.636243579160547e-05,65536,36559,NUTS_SL_01m_2024.shp,SI0,2024,October,10
