interval_from,interval_to,no2_B0_min,no2_B0_max,no2_B0_mean,no2_B0_stDev,no2_B0_sampleCount,no2_B0_noDataCount,shapefile,NUTS_ID,year,month,month_num
2020-12-01,2021-01-01,3.24349821312353e-05,7.929580169729888e-05,5.6231862038267426e-05,1.5451789016163137e-05,65536,65007,NUTS_SL_01m_2024.shp,SI,2020,December,12
2021-02-01,2021-03-01,1.4153541769701405e-06,6.08079026278574e-05,3.064832625806858e-05,1.0968192861460753e-05,65536,41911,NUTS_SL_01m_2024.shp,SI,2021,February,2
2021-03-01,2021-04-01,-1.280989181395853e-05,0.00011279536556685343,2.8831637384819057e-05,1.59151721440673e-05,65536,32142,NUTS_SL_01m_2024.shp,SI,2021,March,3
2021-04-01,2021-05-01,-9.257123565475922e-06,7.391483813989908e-05,1.7508799897455668e-05,1.2576528952574756e-05,65536,59031,NUTS_SL_01m_2024.shp,SI,2021,April,4
2021-05-01,2021-06-01,2.569151547504589e-06,4.857711246586405e-05,2.4428179765442916e-05,1.0330260195612002e-05,65536,59740,NUTS_SL_01m_2024.shp,SI,2021,May,5
2021-06-01,2021-07-01,-1.9976623661932535e-05,6.27098124823533e-05,1.7998383746188102e-05,1.219229526066977e-05,65536,40949,NUTS_SL_01m_2024.shp,SI,2021,June,6
2021-07-01,2021-08-01,-1.2337917723925784e-05,5.844624320161529e-05,2.252856947233634e-05,1.17421835676416e-05,65536,42427,NUTS_SL_01m_2024.shp,SI,2021,July,7
2021-08-01,2021-09-01,-8.432669346802868e-06,9.438611596124247e-05,2.763233963801892e-05,1.3419156544339584e-05,65536,47117,NUTS_SL_01m_2024.shp,SI,2021,August,8
2021-09-01,2021-10-01,-9.047763342096005e-06,3.703905167640187e-05,2.018759979122055e-05,8.653841000190568e-06,65536,57353,NUTS_SL_01m_2024.shp,SI,2021,September,9
2021-10-01,2021-11-01,6.9484040068346076e-06,7.501980871893466e-05,3.447227610354137e-05,1.3249335452023768e-05,65536,61927,NUTS_SL_01m_2024.shp,SI,2021,October,10
2021-11-01,2021-12-01,1.4796049754295382e-06,0.00014888662553858012,4.1989815381792054e-05,3.097526890408809e-05,65536,60882,NUTS_SL_01m_2024.shp,SI,2021,November,11
2021-12-01,2022-01-01,-2.2002637706464157e-05,0.0001942707458510995,4.580417192145607e-05,2.2349177457274592e-05,65536,33828,NUTS_SL_01m_2024.shp,SI,2021,December,12
