interval_from,interval_to,o3_B0_min,o3_B0_max,o3_B0_mean,o3_B0_stDev,o3_B0_sampleCount,o3_B0_noDataCount,shapefile,NUTS_ID,year,month,month_num
2023-12-01,2024-01-01,0.12933216989040375,0.13540294766426086,0.13276860353254175,0.0010262733995014745,65536,31731,NUTS_SL_01m_2024.shp,SI,2023,December,12
2018-04-01,2018-05-01,0.14933456480503082,0.1576702892780304,0.1525902034218468,0.0024022063329926548,65536,63093,NUTS_SL_01m_2024.shp,SI0,2018,April,4
2018-05-01,2018-06-01,0.13729074597358704,0.1498083621263504,0.14396257762760123,0.0025151462784220343,65536,31731,NUTS_SL_01m_2024.shp,SI0,2018,May,5
2018-06-01,2018-07-01,0.14392560720443726,0.15535762906074524,0.15079584857439335,0.002363046982021811,65536,31731,NUTS_SL_01m_2024.shp,SI0,2018,June,6
2018-07-01,2018-08-01,0.1376889944076538,0.14408361911773682,0.1402961957394727,0.0008667562207298277,65536,31731,NUTS_SL_01m_2024.shp,SI0,2018,July,7
2018-08-01,2018-09-01,0.13483968377113342,0.14064644277095795,0.13728267723337367,0.0008361919374217174,65536,38616,NUTS_SL_01m_2024.shp,SI0,2018,August,8
2018-09-01,2018-10-01,0.12282624840736389,0.13062132894992828,0.12689947177167268,0.0012472643872601477,65536,31731,NUTS_SL_01m_2024.shp,SI0,2018,September,9
2018-10-01,2018-11-01,0.12705571949481964,0.13199101388454437,0.12971424864975004,0.0008203197664445809,65536,31731,NUTS_SL_01m_2024.shp,SI0,2018,October,10
2018-11-01,2018-12-01,0.13065843284130096,0.13620305061340332,0.13310259008192382,0.0008964240380262077,65536,31731,NUTS_SL_01m_2024.shp,SI0,2018,November,11
2018-12-01,2019-01-01,0.14342954754829407,0.15370024740695953,0.1484332031420643,0.001795764925598288,65536,31731,NUTS_SL_01m_2024.shp,SI0,2018,December,12
2019-01-01,2019-02-01,0.1751841902732849,0.18702711164951324,0.1803245870628188,0.002586585528403409,65536,31731,NUTS_SL_01m_2024.shp,SI0,2019,January,1
2019-02-01,2019-03-01,0.13014180958271027,0.13419148325920105,0.13229745577738505,0.0010699892479587123,65536,63517,NUTS_SL_01m_2024.shp,SI0,2019,February,2
2019-03-01,2019-04-01,0.15792153775691986,0.16641904413700104,0.16203673436010174,0.0014327275791948064,65536,31731,NUTS_SL_01m_2024.shp,SI0,2019,March,3
2019-04-01,2019-05-01,0.15552425384521484,0.16924060881137848,0.1604651171504132,0.0029096353252790496,65536,31731,NUTS_SL_01m_2024.shp,SI0,2019,April,4
2019-05-01,2019-06-01,0.14859254658222198,0.16166892647743225,0.1558396048494525,0.00307174121834165,65536,31731,NUTS_SL_01m_2024.shp,SI0,2019,May,5
2019-06-01,2019-07-01,0.14112557470798492,0.14784586429595947,0.14469040818220472,0.001063693945742977,65536,31731,NUTS_SL_01m_2024.shp,SI0,2019,June,6
2019-07-01,2019-08-01,0.13441762328147888,0.14490754902362823,0.14000487756295207,0.0016900309525450122,65536,31731,NUTS_SL_01m_2024.shp,SI0,2019,July,7
2019-08-01,2019-09-01,0.12731057405471802,0.13785520195960999,0.13185504396415634,0.0013186985565543695,65536,31731,NUTS_SL_01m_2024.shp,SI0,2019,August,8
2019-09-01,2019-10-01,0.12160485237836838,0.1260814517736435,0.12348388836080898,0.0007698597760000506,65536,31731,NUTS_SL_01m_2024.shp,SI0,2019,September,9
2019-10-01,2019-11-01,0.13134650886058807,0.14172960817813873,0.1359560304338839,0.0016535067675471089,65536,31731,NUTS_SL_01m_2024.shp,SI0,2019,October,10
2019-11-01,2019-12-01,0.11665095388889313,0.12961448729038239,0.12234866072455003,0.0021656447419286127,65536,31731,NUTS_SL_01m_2024.shp,SI0,2019,November,11
2019-12-01,2020-01-01,0.13491632044315338,0.14243768155574799,0.13894244155496333,0.0013286115730909754,65536,31731,NUTS_SL_01m_2024.shp,SI0,2019,December,12
2020-01-01,2020-02-01,0.13330484926700592,0.1394955813884735,0.13686746152401894,0.0011587604403477097,65536,31731,NUTS_SL_01m_2024.shp,SI0,2020,January,1
2020-02-01,2020-03-01,0.13014604151248932,0.14023545384407043,0.13570708074022583,0.0014709274469109452,65536,31731,NUTS_SL_01m_2024.shp,SI0,2020,February,2
