Občina,Leto,PM10 (µg/m³),PM2.5 (µg/m³),Ozon (µg/m³),Žveplov dioksid (µg/m³),Dušikov dioksid (µg/m³),Ogljikov monoksid (µg/m³)
Apače,2022,15.704,13.082,65.094,1.083,6.269,168.275
Apače,2023,15.07,12.356,60.181,1.252,7.92,211.973
Apače,2024,14.445,12.099,59.948,0.436,5.517,196.638
Apače,2025,11.849,10.03,65.591,0.412,4.217,180.817
Beltinci,2020,17.378,13.187,49.956,1.187,8.138,191.343
Beltinci,2021,18.759,13.966,56.877,1.388,8.243,240.294
Beltinci,2022,15.345,12.737,62.611,1.248,5.464,166.138
Beltinci,2023,15.797,13.004,54.99,1.347,7.605,208.253
Beltinci,2024,14.722,12.326,59.944,0.454,4.937,195.112
Beltinci,2025,11.629,9.853,66.126,0.436,3.828,178.48
Benedikt,2020,15.238,12.462,53.723,1.23,7.719,194.254
Benedikt,2021,17.123,13.197,58.388,1.363,8.591,241.788
Benedikt,2022,16.021,13.361,65.07,1.071,6.519,167.194
Benedikt,2023,15.048,12.303,60.606,1.255,8.067,212.536
Benedikt,2024,14.435,12.08,59.634,0.439,5.763,196.936
Benedikt,2025,11.955,10.134,65.106,0.406,4.366,181.474
Bistrica ob Sotli,2020,15.616,12.406,54.987,1.418,7.266,184.128
Bistrica ob Sotli,2021,18.797,14.244,52.663,1.697,9.709,234.613
Bistrica ob Sotli,2022,15.834,13.115,65.117,1.455,5.344,163.866
Bistrica ob Sotli,2023,15.699,13.002,61.917,1.403,6.449,196.826
Bistrica ob Sotli,2024,14.878,12.277,63.124,0.455,4.376,187.083
Bistrica ob Sotli,2025,12.652,10.736,67.853,0.44,3.792,177.791
Bled,2020,12.663,9.702,61.333,0.761,7.712,161.991
Bled,2021,13.721,9.649,60.507,0.59,9.661,201.726
Bled,2022,13.906,10.567,62.663,0.716,6.104,148.473
Bled,2023,14.098,10.873,68.036,0.823,7.734,181.156
Bled,2024,11.188,9.121,63.283,0.282,4.799,167.721
Bled,2025,10.393,8.687,68.056,0.299,4.313,159.768
Bloke,2020,9.871,7.432,66.83,0.821,3.838,152.906
Bloke,2021,11.848,7.967,67.486,0.831,4.765,188.003
Bloke,2022,11.108,8.508,71.263,1.128,2.945,135.811
Bloke,2023,11.432,8.658,71.327,1.238,3.341,165.496
Bloke,2024,9.503,7.123,70.819,0.325,1.672,152.891
Bloke,2025,8.155,6.427,75.789,0.31,1.395,148.139
Bohinj,2020,10.782,7.948,64.408,0.704,5.067,147.689
Bohinj,2021,11.644,7.804,63.277,0.595,6.443,182.5
Bohinj,2022,11.579,8.459,66.706,0.704,3.954,136.471
Bohinj,2023,11.408,8.641,72.079,0.817,4.142,162.001
Bohinj,2024,8.721,6.69,70.15,0.236,2.053,149.186
Bohinj,2025,8.193,6.624,73.933,0.246,1.806,146.581
Borovnica,2020,13.909,10.84,59.053,1.216,8.543,173.197
Borovnica,2021,15.577,10.98,59.335,0.941,10.082,216.229
Borovnica,2022,16.115,12.889,63.554,1.237,6.917,158.566
Borovnica,2023,15.235,11.963,68.692,1.331,7.104,192.694
Borovnica,2024,13.793,11.424,62.67,0.408,4.604,180.249
Borovnica,2025,11.554,9.743,68.349,0.375,3.762,167.672
Bovec,2020,10.097,7.485,58.519,0.642,5.361,142.378
Bovec,2021,10.474,7.133,61.03,0.499,6.492,174.56
Bovec,2022,10.822,7.705,62.767,0.671,4.134,128.299
Bovec,2023,10.488,7.985,66.758,0.672,3.915,156.187
Bovec,2024,7.898,6.084,69.051,0.204,2.076,145.089
Bovec,2025,7.502,6.026,73.13,0.202,1.757,142.485
Murska Sobota,2020,17.419,13.307,51.147,1.198,8.755,192.401
Murska Sobota,2021,18.746,14.052,58.071,1.403,8.623,241.041
Murska Sobota,2022,15.692,13.086,63.218,1.187,5.949,168.695
Murska Sobota,2023,15.846,13.041,56.365,1.326,8.273,210.671
Murska Sobota,2024,14.951,12.524,59.823,0.474,5.466,196.629
Murska Sobota,2025,11.92,10.085,65.969,0.455,4.265,179.888
Muta,2020,12.751,9.853,50.047,0.894,6.639,164.631
Muta,2021,14.745,10.505,56.594,0.986,8.036,206.891
Muta,2022,14.47,11.017,64.902,0.855,5.473,144.87
Muta,2023,13.636,10.279,64.646,1.046,6.176,179.593
Muta,2024,10.705,8.636,64.229,0.284,3.709,166.901
Muta,2025,9.744,8.046,69.415,0.306,2.878,160.893
Naklo,2020,15.692,12.4,60.477,1.237,10.912,175.452
Naklo,2021,17.004,12.139,62.737,1.038,12.765,222.019
Naklo,2022,17.273,13.777,60.092,1.157,9.055,164.298
Naklo,2023,18.04,14.179,68.232,1.303,10.889,200.198
Naklo,2024,14.87,12.159,61.441,0.55,7.479,183.463
Naklo,2025,13.048,10.824,66.468,0.531,6.821,171.534
Nazarje,2020,13.508,10.172,53.676,1.278,6.846,160.648
Nazarje,2021,14.804,10.417,61.442,1.209,7.642,209.088
Nazarje,2022,15.392,11.853,65.077,1.342,5.343,141.892
Nazarje,2023,14.056,10.776,67.612,1.277,5.298,175.258
Nazarje,2024,10.898,8.541,66.359,0.323,2.888,162.196
Nazarje,2025,10.074,8.243,70.657,0.333,2.421,158.568
Nova Gorica,2020,16.035,11.548,60.921,1.182,11.297,177.417
Nova Gorica,2021,15.656,10.601,60.712,1.208,12.711,213.17
Nova Gorica,2022,15.238,11.928,62.968,1.262,7.397,163.886
Nova Gorica,2023,15.59,12.389,67.714,1.596,9.097,198.073
Nova Gorica,2024,13.092,10.545,70.344,0.549,5.044,179.432
Nova Gorica,2025,10.587,8.562,74.384,0.464,4.331,168.106
Novo mesto,2020,14.995,11.555,48.159,1.157,9.351,176.241
Novo mesto,2021,17.997,12.684,49.09,1.307,10.842,225.086
Novo mesto,2022,15.551,12.757,62.409,1.235,6.565,159.953
Novo mesto,2023,17.579,13.928,54.472,1.295,9.557,195.33
Novo mesto,2024,14.548,11.828,59.849,0.421,6.045,183.214
Novo mesto,2025,12.221,10.1,64.997,0.431,5.319,170.914
Odranci,2020,17.651,13.705,50.607,1.216,7.662,192.933
Odranci,2021,19.632,14.823,56.827,1.465,8.362,244.772
Odranci,2022,15.862,13.224,63.325,1.349,5.349,168.278
Odranci,2023,16.283,13.539,55.427,1.393,7.333,208.426
Odranci,2024,15.447,12.986,60.876,0.466,4.876,198.322
Odranci,2025,12.284,10.446,66.816,0.443,3.778,180.966
Oplotnica,2020,15.891,12.781,52.623,1.452,8.316,186.707
Oplotnica,2021,18.079,13.616,54.35,1.709,9.738,233.862
Oplotnica,2022,17.183,14.331,65.751,1.592,7.094,166.936
Oplotnica,2023,15.42,12.603,61.179,1.488,7.884,201.648
Oplotnica,2024,14.57,11.961,62.542,0.539,5.588,190.165
Oplotnica,2025,12.459,10.467,67.651,0.509,4.651,178.764
Ormož,2020,17.082,13.509,53.46,1.256,7.388,189.511
Ormož,2021,19.548,14.941,56.986,1.525,8.636,243.322
Ormož,2022,15.846,13.213,65.235,1.341,5.389,166.987
Ormož,2023,16.083,13.376,57.828,1.405,7.359,204.013
Ormož,2024,15.535,12.938,62.085,0.486,5.0,195.496
Ormož,2025,12.623,10.633,67.747,0.455,4.001,180.455
Osilnica,2020,9.324,7.029,67.892,0.865,2.852,151.832
Osilnica,2021,11.157,7.552,67.67,0.941,3.285,182.8
Osilnica,2022,10.313,7.847,72.717,1.394,2.176,134.901
Osilnica,2023,10.783,8.149,68.866,1.445,2.819,161.157
Osilnica,2024,8.959,6.537,70.896,0.349,1.345,149.31
Osilnica,2025,7.908,6.11,75.441,0.344,1.136,146.029
Pesnica,2020,13.691,11.144,52.418,1.208,6.881,182.133
Pesnica,2021,15.621,11.571,60.159,1.26,8.107,223.296
Pesnica,2022,15.29,12.27,66.19,1.009,6.77,156.551
Pesnica,2023,13.186,10.341,64.45,1.244,7.134,191.843
Pesnica,2024,12.458,10.081,63.606,0.433,4.95,179.425
Pesnica,2025,10.997,9.097,68.838,0.396,4.04,171.772
PiranPirano,2020,15.582,10.096,65.448,1.488,11.83,178.386
PiranPirano,2021,14.74,8.92,65.795,2.508,13.238,216.083
PiranPirano,2022,14.82,11.233,62.224,3.086,10.936,166.987
PiranPirano,2023,15.453,11.354,71.705,3.406,11.736,200.691
PiranPirano,2024,13.701,10.448,72.046,1.594,8.259,181.681
PiranPirano,2025,10.42,7.836,79.636,0.749,5.964,168.228
Pivka,2020,9.662,7.238,68.482,0.756,3.708,153.851
Pivka,2021,11.343,7.457,68.417,0.809,4.805,186.705
Pivka,2022,11.103,8.505,71.551,1.205,2.892,139.259
Pivka,2023,11.125,8.505,72.539,1.362,3.487,166.654
Pivka,2024,9.331,6.963,71.363,0.345,1.751,153.278
Pivka,2025,7.996,6.233,76.077,0.313,1.444,148.285
Podlehnik,2020,16.407,13.241,54.251,1.51,8.449,191.913
Podlehnik,2021,19.078,14.6,54.948,1.884,10.078,242.378
Podlehnik,2022,16.35,13.736,65.357,1.666,6.652,171.291
Podlehnik,2023,16.013,13.258,60.744,1.775,8.557,207.841
Podlehnik,2024,15.517,12.84,62.516,0.674,6.079,196.455
Podlehnik,2025,12.808,10.735,67.773,0.574,5.018,181.401
Podvelka,2020,12.257,9.459,56.113,1.108,5.415,162.014
Podvelka,2021,14.215,10.105,62.44,1.162,6.699,203.051
Podvelka,2022,13.673,10.566,69.275,0.971,4.761,142.695
Podvelka,2023,12.402,9.478,67.548,1.149,5.104,173.616
Podvelka,2024,10.163,7.903,68.669,0.325,2.759,159.469
Podvelka,2025,9.159,7.399,73.616,0.325,2.293,155.638
Podčetrtek,2020,15.218,11.78,54.609,1.558,7.478,180.13
Podčetrtek,2021,17.882,13.296,53.957,1.755,9.078,228.509
Podčetrtek,2022,16.123,13.309,66.098,1.585,5.5,160.908
Podčetrtek,2023,15.174,12.451,62.837,1.403,6.085,192.943
Podčetrtek,2024,13.836,11.323,64.099,0.452,3.92,181.308
Podčetrtek,2025,11.675,9.828,68.835,0.419,3.298,171.793
Poljčane,2020,15.889,12.508,51.754,1.427,8.922,181.07
Poljčane,2021,17.647,13.058,55.646,1.658,9.952,225.799
Poljčane,2022,16.804,13.855,65.933,1.355,6.865,158.568
Poljčane,2023,15.025,12.131,62.692,1.402,8.058,194.714
Poljčane,2024,13.574,11.048,64.819,0.47,5.373,181.547
Poljčane,2025,11.795,9.829,69.383,0.459,4.631,172.36
Polzela,2020,16.183,12.15,46.07,1.657,10.496,174.808
Polzela,2021,17.513,12.474,56.142,1.523,10.532,227.134
Polzela,2022,17.644,14.181,63.543,1.582,6.881,158.588
Polzela,2023,16.639,13.089,63.01,1.375,7.555,194.229
Polzela,2024,13.557,11.089,63.188,0.411,4.551,179.383
Polzela,2025,11.947,10.05,67.802,0.404,3.883,170.233
Postojna,2020,10.463,7.916,67.467,0.824,4.619,155.9
Postojna,2021,12.251,8.202,66.921,0.826,5.76,191.295
Postojna,2022,12.001,9.259,69.428,1.164,3.657,141.661
Postojna,2023,11.922,9.149,72.743,1.331,4.068,169.408
Postojna,2024,10.255,7.937,70.18,0.365,2.222,157.37
Postojna,2025,8.734,6.977,75.373,0.331,1.804,151.187
Prebold,2020,16.183,12.15,46.07,1.657,10.496,174.808
Prebold,2021,17.513,12.474,56.142,1.523,10.532,227.134
Prebold,2022,17.644,14.181,63.543,1.582,6.881,158.588
Prebold,2023,16.639,13.089,63.01,1.375,7.555,194.229
Prebold,2024,13.557,11.089,63.188,0.411,4.551,179.383
Prebold,2025,11.947,10.05,67.802,0.404,3.883,170.233
Preddvor,2020,11.461,8.654,68.111,0.863,5.096,149.76
Preddvor,2021,12.917,8.843,69.907,0.699,7.075,192.371
Preddvor,2022,13.296,9.976,65.854,0.807,5.128,140.117
Preddvor,2023,12.97,9.802,73.153,0.895,5.059,163.017
Preddvor,2024,9.711,7.531,68.715,0.258,2.855,152.023
Preddvor,2025,8.984,7.234,73.287,0.27,2.425,148.153
Prevalje,2020,14.294,10.906,49.963,0.887,7.286,166.856
Prevalje,2021,15.525,11.211,55.693,0.965,9.206,215.862
Prevalje,2022,15.729,12.052,61.853,0.902,6.209,151.104
Prevalje,2023,15.106,11.533,62.067,1.052,7.277,184.477
Prevalje,2024,12.132,9.985,60.834,0.314,5.056,175.03
Prevalje,2025,10.751,8.999,66.447,0.336,3.978,164.458
Ptuj,2020,16.45,13.326,52.841,1.431,8.788,193.666
Ptuj,2021,18.824,14.415,55.19,1.804,10.081,244.422
Ptuj,2022,16.957,14.293,64.673,1.487,7.201,172.16
Ptuj,2023,16.052,13.212,59.678,1.718,9.406,212.627
Ptuj,2024,15.512,12.892,61.334,0.661,6.703,199.936
Ptuj,2025,12.787,10.75,66.777,0.572,5.473,183.163
Puconci,2020,17.651,13.705,50.607,1.216,7.662,192.933
Puconci,2021,19.632,14.823,56.827,1.465,8.362,244.772
Puconci,2022,15.862,13.224,63.325,1.349,5.349,168.278
Puconci,2023,16.283,13.539,55.427,1.393,7.333,208.426
Puconci,2024,15.447,12.986,60.876,0.466,4.876,198.322
Puconci,2025,12.284,10.446,66.816,0.443,3.778,180.966
Radenci,2020,17.419,13.307,51.147,1.198,8.755,192.401
Radenci,2021,18.746,14.052,58.071,1.403,8.623,241.041
Radenci,2022,15.692,13.086,63.218,1.187,5.949,168.695
Radenci,2023,15.846,13.041,56.365,1.326,8.273,210.671
Radenci,2024,14.951,12.524,59.823,0.474,5.466,196.629
Radenci,2025,11.92,10.085,65.969,0.455,4.265,179.888
Radeče,2020,14.504,10.867,51.206,1.505,8.084,172.052
Radeče,2021,16.622,11.787,56.53,1.521,8.609,221.756
Radeče,2022,15.766,12.763,66.649,1.336,5.097,156.557
Radeče,2023,15.695,12.39,63.637,1.325,5.992,186.673
Radeče,2024,12.94,10.472,66.693,0.406,3.328,173.801
Radeče,2025,10.803,8.953,71.75,0.387,2.732,164.635
Radlje ob Dravi,2020,12.887,10.07,49.362,0.978,7.07,168.422
Radlje ob Dravi,2021,15.063,10.79,57.372,1.025,8.239,210.278
Radlje ob Dravi,2022,14.38,11.001,65.346,0.872,5.631,146.103
Radlje ob Dravi,2023,13.515,10.308,64.575,1.078,6.481,183.103
Radlje ob Dravi,2024,11.136,9.028,63.505,0.304,4.116,171.401
Radlje ob Dravi,2025,10.02,8.332,68.811,0.326,3.208,164.582
Radovljica,2020,12.663,9.702,61.333,0.761,7.712,161.991
Radovljica,2021,13.721,9.649,60.507,0.59,9.661,201.726
Radovljica,2022,13.906,10.567,62.663,0.716,6.104,148.473
Radovljica,2023,14.098,10.873,68.036,0.823,7.734,181.156
Radovljica,2024,11.188,9.121,63.283,0.282,4.799,167.721
Radovljica,2025,10.393,8.687,68.056,0.299,4.313,159.768
Ravne na Koroškem,2020,14.294,10.906,49.963,0.887,7.286,166.856
Ravne na Koroškem,2021,15.525,11.211,55.693,0.965,9.206,215.862
Ravne na Koroškem,2022,15.729,12.052,61.853,0.902,6.209,151.104
Ravne na Koroškem,2023,15.106,11.533,62.067,1.052,7.277,184.477
Ravne na Koroškem,2024,12.132,9.985,60.834,0.314,5.056,175.03
Ravne na Koroškem,2025,10.751,8.999,66.447,0.336,3.978,164.458
Razkrižje,2020,17.651,13.705,50.607,1.216,7.662,192.933
Razkrižje,2021,19.632,14.823,56.827,1.465,8.362,244.772
Razkrižje,2022,15.862,13.224,63.325,1.349,5.349,168.278
Razkrižje,2023,16.283,13.539,55.427,1.393,7.333,208.426
Razkrižje,2024,15.447,12.986,60.876,0.466,4.876,198.322
Razkrižje,2025,12.284,10.446,66.816,0.443,3.778,180.966
Rače - Fram,2020,16.044,13.047,51.896,1.316,8.959,187.146
Rače - Fram,2021,17.947,13.437,56.197,1.621,9.822,231.273
Rače - Fram,2022,17.583,14.756,65.203,1.376,8.006,165.251
Rače - Fram,2023,15.261,12.336,61.37,1.431,9.152,199.929
Rače - Fram,2024,14.4,11.734,63.412,0.542,6.775,187.759
Rače - Fram,2025,12.411,10.334,68.664,0.531,5.775,176.8
Rečica ob Savinji,2020,13.508,10.172,53.676,1.278,6.846,160.648
Rečica ob Savinji,2021,14.804,10.417,61.442,1.209,7.642,209.088
Rečica ob Savinji,2022,15.392,11.853,65.077,1.342,5.343,141.892
Rečica ob Savinji,2023,14.056,10.776,67.612,1.277,5.298,175.258
Rečica ob Savinji,2024,10.898,8.541,66.359,0.323,2.888,162.196
Rečica ob Savinji,2025,10.074,8.243,70.657,0.333,2.421,158.568
Renče - Vogrsko,2020,15.189,10.837,62.632,1.217,9.838,177.544
Renče - Vogrsko,2021,15.271,10.105,61.964,1.339,11.539,214.312
Renče - Vogrsko,2022,15.408,12.018,61.687,1.474,7.451,163.954
Renče - Vogrsko,2023,15.125,11.838,68.01,1.826,8.263,197.167
Renče - Vogrsko,2024,12.694,10.15,69.299,0.548,4.432,178.055
Renče - Vogrsko,2025,10.13,8.145,73.909,0.435,3.684,166.826
Ribnica,2020,10.508,8.015,62.229,0.887,4.31,157.388
Ribnica,2021,12.773,8.827,61.607,0.912,5.084,196.662
Ribnica,2022,11.978,9.412,69.172,1.134,3.589,142.246
Ribnica,2023,12.323,9.443,64.801,1.199,3.947,170.328
Ribnica,2024,10.354,7.94,66.817,0.319,2.301,159.213
Ribnica,2025,9.025,7.247,71.74,0.33,1.953,154.011
Ribnica na Pohorju,2020,12.877,9.943,53.205,1.056,5.994,163.747
Ribnica na Pohorju,2021,14.847,10.593,60.041,1.146,7.438,206.878
Ribnica na Pohorju,2022,14.326,11.112,67.311,0.954,5.035,145.416
Ribnica na Pohorju,2023,13.274,10.213,65.856,1.156,5.687,178.273
Ribnica na Pohorju,2024,10.823,8.625,66.366,0.315,3.127,163.778
Ribnica na Pohorju,2025,9.523,7.819,71.609,0.315,2.452,157.643
Rogaška Slatina,2020,15.658,12.488,54.457,1.559,8.001,185.138
Rogaška Slatina,2021,18.407,13.949,53.674,1.814,9.93,236.336
Rogaška Slatina,2022,16.758,13.91,65.699,1.674,6.34,166.998
Rogaška Slatina,2023,15.629,12.876,62.136,1.515,7.098,201.131
Rogaška Slatina,2024,15.065,12.47,62.629,0.547,5.113,191.02
Rogaška Slatina,2025,12.663,10.686,68.048,0.484,4.199,178.908
Rogašovci,2020,12.586,9.878,56.388,1.146,5.54,165.441
Rogašovci,2021,14.472,10.4,62.885,1.214,6.777,206.41
Rogašovci,2022,13.9,10.913,69.531,1.001,5.036,143.993
Rogašovci,2023,12.371,9.542,67.59,1.167,5.378,176.428
Rogašovci,2024,10.656,8.299,68.964,0.357,3.218,162.503
Rogašovci,2025,9.598,7.752,73.956,0.354,2.76,158.407
Rogatec,2020,15.835,12.685,55.787,1.67,7.943,187.295
Rogatec,2021,18.693,14.317,54.585,2.073,10.005,239.56
Rogatec,2022,16.279,13.564,65.813,1.758,6.27,169.088
Rogatec,2023,15.59,12.924,62.469,1.818,7.523,201.747
Rogatec,2024,15.582,12.952,63.103,0.758,5.4,193.901
Rogatec,2025,12.846,10.824,68.659,0.504,4.103,180.845
Ruše,2020,12.586,9.878,56.388,1.146,5.54,165.441
Ruše,2021,14.472,10.4,62.885,1.214,6.777,206.41
Ruše,2022,13.9,10.913,69.531,1.001,5.036,143.993
Ruše,2023,12.371,9.542,67.59,1.167,5.378,176.428
Ruše,2024,10.656,8.299,68.964,0.357,3.218,162.503
Ruše,2025,9.598,7.752,73.956,0.354,2.76,158.407
Selnica ob Dravi,2020,14.353,11.612,54.959,1.205,6.528,175.636
Selnica ob Dravi,2021,16.211,11.928,61.223,1.375,7.766,216.395
Selnica ob Dravi,2022,15.645,12.697,67.738,1.11,6.475,152.528
Selnica ob Dravi,2023,13.595,10.693,65.822,1.288,6.651,185.235
Selnica ob Dravi,2024,12.444,9.86,67.242,0.437,4.45,171.881
Selnica ob Dravi,2025,10.833,8.814,72.394,0.435,3.808,166.075
Semič,2020,11.919,9.316,57.817,1.007,4.763,166.212
Semič,2021,14.567,10.373,55.502,1.157,5.945,208.359
Semič,2022,13.239,10.611,66.484,1.3,3.95,147.838
Semič,2023,13.898,10.979,60.618,1.295,4.735,176.927
Semič,2024,11.746,9.179,66.536,0.376,2.844,166.381
Semič,2025,10.109,8.198,72.139,0.395,2.43,160.098
Sevnica,2020,14.594,11.016,52.796,1.426,7.358,173.513
Sevnica,2021,17.118,12.374,54.357,1.603,8.867,223.894
Sevnica,2022,15.48,12.661,66.77,1.342,4.996,156.622
Sevnica,2023,15.45,12.399,62.399,1.324,6.003,188.262
Sevnica,2024,13.313,10.819,65.226,0.41,3.476,176.119
Sevnica,2025,11.121,9.277,70.063,0.396,2.881,166.933
Sežana,2020,13.003,9.653,65.949,1.025,7.909,172.229
Sežana,2021,14.355,9.408,64.185,1.178,9.731,209.255
Sežana,2022,14.123,11.038,65.146,1.71,5.939,159.249
Sežana,2023,13.98,11.005,72.245,1.909,6.834,191.144
Sežana,2024,12.003,9.553,70.206,0.586,3.623,173.48
Sežana,2025,9.692,7.81,74.755,0.467,2.963,163.478
Slovenj Gradec,2020,15.069,11.618,47.919,1.035,8.15,170.954
Slovenj Gradec,2021,16.546,11.969,54.61,1.141,9.726,219.16
Slovenj Gradec,2022,16.047,12.527,62.251,1.006,6.505,154.26
Slovenj Gradec,2023,15.619,12.057,61.479,1.201,8.145,189.969
Slovenj Gradec,2024,12.794,10.534,60.838,0.37,5.468,177.052
Slovenj Gradec,2025,11.248,9.361,66.463,0.383,4.307,166.133
Slovenska Bistrica,2020,15.889,12.508,51.754,1.427,8.922,181.07
Slovenska Bistrica,2021,17.647,13.058,55.646,1.658,9.952,225.799
Slovenska Bistrica,2022,16.804,13.855,65.933,1.355,6.865,158.568
Slovenska Bistrica,2023,15.025,12.131,62.692,1.402,8.058,194.714
Slovenska Bistrica,2024,13.574,11.048,64.819,0.47,5.373,181.547
Slovenska Bistrica,2025,11.795,9.829,69.383,0.459,4.631,172.36
Slovenske Konjice,2020,15.385,11.869,52.398,1.361,8.348,175.937
Slovenske Konjice,2021,16.821,12.296,56.941,1.57,9.404,219.676
Slovenske Konjice,2022,16.133,13.202,67.101,1.249,6.027,153.734
Slovenske Konjice,2023,14.587,11.658,64.037,1.311,7.14,188.846
Slovenske Konjice,2024,12.808,10.345,66.32,0.43,4.634,175.661
Slovenske Konjice,2025,11.319,9.376,70.417,0.413,4.044,167.88
Sodražica,2020,10.15,7.693,64.771,0.856,3.888,154.512
Sodražica,2021,12.238,8.377,65.265,0.877,4.693,191.822
Sodražica,2022,11.538,8.964,70.728,1.124,3.155,137.673
Sodražica,2023,11.8,8.96,68.348,1.21,3.406,167.059
Sodražica,2024,9.862,7.463,69.426,0.319,1.817,155.601
Sodražica,2025,8.587,6.837,74.296,0.315,1.547,150.829
Solčava,2020,10.534,7.641,65.32,0.76,4.066,143.845
Solčava,2021,11.98,8.133,67.81,0.674,5.691,185.818
Solčava,2022,11.753,8.309,67.432,0.748,3.841,131.575
Solčava,2023,11.579,8.496,71.324,0.837,4.013,156.105
Solčava,2024,8.546,6.441,69.04,0.218,1.898,145.342
Solčava,2025,7.906,6.26,73.401,0.228,1.516,143.167
Središče ob Dravi,2020,19.151,15.338,51.793,1.298,7.033,198.191
Središče ob Dravi,2021,21.997,17.087,54.63,1.592,9.033,254.549
Središče ob Dravi,2022,16.342,13.518,63.461,1.509,5.216,171.501
Središče ob Dravi,2023,18.051,15.141,55.591,1.453,7.065,213.261
Središče ob Dravi,2024,18.018,15.28,61.148,0.499,5.178,209.207
Središče ob Dravi,2025,14.494,12.4,66.365,0.482,4.204,191.536
Starše,2020,16.351,13.271,51.382,1.416,8.869,193.656
Starše,2021,18.59,14.153,54.414,1.795,10.204,243.166
Starše,2022,17.778,14.999,64.115,1.556,7.844,171.881
Starše,2023,15.946,13.034,59.551,1.663,9.492,211.967
Starše,2024,15.337,12.729,61.024,0.656,6.992,200.233
Starše,2025,12.885,10.86,66.49,0.577,5.809,184.424
Ankaran,2020,14.729,10.147,62.569,1.406,14.613,180.78
Ankaran,2021,14.891,9.318,62.836,1.963,14.603,218.869
Ankaran,2022,14.605,11.361,61.676,2.988,10.904,171.281
Ankaran,2023,15.55,11.977,66.806,3.652,15.225,204.222
Ankaran,2024,13.332,10.3,67.46,1.362,9.301,184.674
Ankaran,2025,10.511,8.062,73.445,0.846,7.462,170.499
Sveta Trojica v Slov. Goricah,2020,16.087,13.132,52.642,1.302,8.253,193.843
Sveta Trojica v Slov. Goricah,2021,18.176,14.003,56.277,1.551,9.218,243.415
Sveta Trojica v Slov. Goricah,2022,16.866,14.222,64.779,1.23,6.998,169.747
Sveta Trojica v Slov. Goricah,2023,15.85,13.042,59.25,1.434,8.956,213.633
Sveta Trojica v Slov. Goricah,2024,15.267,12.774,60.091,0.512,6.387,199.089
Sveta Trojica v Slov. Goricah,2025,12.463,10.534,65.86,0.462,4.964,181.772
Sveti Andraž v Slov.goricah,2020,15.941,12.795,54.381,1.265,7.849,191.394
Sveti Andraž v Slov.goricah,2021,17.981,13.796,57.898,1.505,8.685,240.732
Sveti Andraž v Slov.goricah,2022,16.101,13.56,65.44,1.214,6.409,168.759
Sveti Andraž v Slov.goricah,2023,15.407,12.749,59.52,1.393,8.186,208.508
Sveti Andraž v Slov.goricah,2024,14.798,12.348,60.791,0.474,5.625,195.223
Sveti Andraž v Slov.goricah,2025,12.085,10.195,66.598,0.437,4.379,179.275
Žužemberk,2020,12.755,9.729,52.314,1.041,7.075,168.35
Žužemberk,2021,15.216,10.682,53.799,1.053,8.327,213.972
Žužemberk,2022,14.213,11.441,64.656,1.15,5.685,152.865
Žužemberk,2023,14.811,11.601,59.005,1.17,6.691,184.765
Žužemberk,2024,12.245,9.845,61.795,0.318,4.202,172.294
Žužemberk,2025,10.402,8.598,66.963,0.329,3.674,163.18
Šmarješke Toplice,2020,14.354,11.124,49.36,1.146,7.647,176.053
Šmarješke Toplice,2021,17.753,12.716,49.715,1.349,9.892,225.133
Šmarješke Toplice,2022,15.479,12.741,63.245,1.261,5.625,157.456
Šmarješke Toplice,2023,16.955,13.6,55.704,1.272,7.76,194.306
Šmarješke Toplice,2024,14.239,11.664,60.506,0.387,4.969,182.725
Šmarješke Toplice,2025,11.76,9.861,65.677,0.389,4.155,170.506
Šmartno ob Paki,2020,16.868,12.723,47.602,1.646,9.886,176.813
Šmartno ob Paki,2021,17.929,12.785,56.121,1.69,10.752,226.546
Šmartno ob Paki,2022,17.542,14.017,63.326,1.547,6.541,157.352
Šmartno ob Paki,2023,17.114,13.331,62.389,1.669,8.166,197.941
Šmartno ob Paki,2024,14.016,11.416,62.667,0.45,4.837,180.519
Šmartno ob Paki,2025,12.337,10.335,67.229,0.462,3.885,170.461
Šmartno pri Litiji,2020,14.651,11.199,51.652,1.49,8.753,174.768
Šmartno pri Litiji,2021,16.795,11.874,58.972,1.302,9.33,222.329
Šmartno pri Litiji,2022,16.338,13.185,65.142,1.311,6.157,161.244
Šmartno pri Litiji,2023,16.599,13.077,65.695,1.39,7.029,194.436
Šmartno pri Litiji,2024,13.903,11.423,64.808,0.42,4.054,178.87
Šmartno pri Litiji,2025,11.288,9.411,70.555,0.386,3.211,166.538
Šoštanj,2020,16.868,12.723,47.602,1.646,9.886,176.813
Šoštanj,2021,17.929,12.785,56.121,1.69,10.752,226.546
Šoštanj,2022,17.542,14.017,63.326,1.547,6.541,157.352
Šoštanj,2023,17.114,13.331,62.389,1.669,8.166,197.941
Šoštanj,2024,14.016,11.416,62.667,0.45,4.837,180.519
Šoštanj,2025,12.337,10.335,67.229,0.462,3.885,170.461
Štore,2020,17.95,13.299,46.998,1.657,11.106,183.816
Štore,2021,19.546,13.957,50.785,1.859,12.559,234.065
Štore,2022,17.815,14.718,64.219,1.461,6.727,165.038
Štore,2023,17.118,13.818,59.228,1.445,8.927,202.627
Štore,2024,15.342,12.708,61.612,0.569,5.76,190.157
