Občina,Leto,PM10 (µg/m³),PM2.5 (µg/m³),Ozon (µg/m³),Žveplov dioksid (µg/m³),Dušikov dioksid (µg/m³),Ogljikov monoksid (µg/m³)
Duplek,2023,16.373,13.374,59.426,1.454,9.701,218.005
Duplek,2024,15.86,13.242,60.278,0.558,7.166,202.214
Duplek,2025,13.194,11.154,66.094,0.497,5.664,184.558
Gorenja vas - Poljane,2020,12.701,9.799,64.303,1.0,7.069,160.082
Gorenja vas - Poljane,2021,13.844,9.592,63.065,0.801,8.676,199.574
Gorenja vas - Poljane,2022,14.013,10.709,64.401,0.942,5.86,144.755
Gorenja vas - Poljane,2023,13.73,10.656,72.503,1.111,6.056,177.595
Gorenja vas - Poljane,2024,11.147,8.923,67.112,0.344,3.473,164.122
Gorenja vas - Poljane,2025,9.988,8.263,71.718,0.332,3.062,157.858
Gorišnica,2020,16.337,13.0,54.606,1.266,7.145,188.985
Gorišnica,2021,18.642,14.293,57.418,1.541,8.467,239.966
Gorišnica,2022,15.807,13.247,65.966,1.307,5.564,167.121
Gorišnica,2023,15.569,12.938,59.387,1.422,7.193,202.694
Gorišnica,2024,14.931,12.399,62.45,0.481,4.895,193.285
Gorišnica,2025,12.25,10.293,67.981,0.442,3.901,178.587
Gorje,2020,9.874,7.22,64.308,0.604,4.583,142.779
Gorje,2021,10.894,7.239,64.005,0.5,5.949,177.021
Gorje,2022,10.847,7.771,66.265,0.621,3.85,132.722
Gorje,2023,10.517,7.816,71.72,0.695,3.797,154.382
Gorje,2024,7.867,5.934,70.036,0.199,1.664,142.756
Gorje,2025,7.691,6.133,73.912,0.214,1.503,141.617
Gornja Radgona,2020,15.575,12.501,54.815,1.223,7.926,193.477
Gornja Radgona,2021,17.255,13.241,59.591,1.372,8.43,241.442
Gornja Radgona,2022,15.704,13.082,65.094,1.083,6.269,168.275
Gornja Radgona,2023,15.07,12.356,60.181,1.252,7.92,211.973
Gornja Radgona,2024,14.445,12.099,59.948,0.436,5.517,196.638
Gornja Radgona,2025,11.849,10.03,65.591,0.412,4.217,180.817
Gornji Grad,2020,13.187,9.959,57.368,1.368,6.736,158.737
Gornji Grad,2021,14.702,10.285,64.901,1.207,7.438,207.463
Gornji Grad,2022,14.675,11.32,66.861,1.18,4.831,144.856
Gornji Grad,2023,14.341,11.037,70.775,1.23,5.12,174.668
Gornji Grad,2024,10.964,8.623,68.664,0.336,2.564,159.491
Gornji Grad,2025,9.739,7.908,73.055,0.322,2.126,154.943
Gornji Petrovci,2020,14.819,11.487,53.015,1.13,6.833,185.332
Gornji Petrovci,2021,16.307,12.112,57.237,1.272,7.577,227.853
Gornji Petrovci,2022,13.718,11.026,62.537,1.162,5.138,157.566
Gornji Petrovci,2023,14.113,11.218,58.645,1.275,6.331,198.32
Gornji Petrovci,2024,12.628,10.383,62.653,0.418,3.83,183.741
Gornji Petrovci,2025,10.218,8.548,67.701,0.417,3.007,171.397
Grad,2020,14.692,11.483,54.468,1.092,7.135,186.027
Grad,2021,16.162,12.088,58.622,1.238,7.876,228.897
Grad,2022,13.957,11.217,62.975,1.09,5.47,159.418
Grad,2023,14.088,11.22,60.14,1.2,6.643,201.034
Grad,2024,12.798,10.572,62.901,0.417,4.096,185.436
Grad,2025,10.419,8.726,68.117,0.412,3.176,172.699
Grosuplje,2020,13.858,10.594,53.5,1.218,9.658,175.078
Grosuplje,2021,16.082,11.343,57.315,1.039,11.239,220.954
Grosuplje,2022,16.294,13.273,63.849,1.271,7.652,163.908
Grosuplje,2023,15.884,12.411,64.268,1.308,9.208,196.674
Grosuplje,2024,13.748,11.331,62.11,0.394,6.084,181.096
Grosuplje,2025,11.345,9.465,67.709,0.364,5.15,166.968
Hajdina,2020,16.45,13.326,52.841,1.431,8.788,193.666
Hajdina,2021,18.824,14.415,55.19,1.804,10.081,244.422
Hajdina,2022,16.957,14.293,64.673,1.487,7.201,172.16
Hajdina,2023,16.052,13.212,59.678,1.718,9.406,212.627
Hajdina,2024,15.512,12.892,61.334,0.661,6.703,199.936
Hajdina,2025,12.787,10.75,66.777,0.572,5.473,183.163
Hodoš Hodos,2020,14.799,11.434,52.381,1.177,6.254,184.755
Hodoš Hodos,2021,16.368,12.116,56.278,1.316,7.185,227.414
Hodoš Hodos,2022,13.559,10.894,62.115,1.232,4.752,156.521
Hodoš Hodos,2023,14.128,11.25,57.822,1.358,5.887,196.397
Hodoš Hodos,2024,12.538,10.282,62.763,0.425,3.514,182.388
Hodoš Hodos,2025,10.091,8.431,67.878,0.424,2.771,170.408
Horjul,2020,13.861,10.863,62.822,1.237,7.817,169.279
Horjul,2021,15.189,10.616,62.2,0.942,9.309,210.484
Horjul,2022,15.952,12.609,64.027,1.197,6.788,158.923
Horjul,2023,14.981,11.769,72.121,1.315,6.534,186.759
Horjul,2024,12.842,10.464,65.756,0.417,3.858,173.024
Horjul,2025,11.125,9.278,70.775,0.383,3.324,164.194
Hoče - Slivnica,2020,16.044,13.047,51.896,1.316,8.959,187.146
Hoče - Slivnica,2021,17.947,13.437,56.197,1.621,9.822,231.273
Hoče - Slivnica,2022,17.583,14.756,65.203,1.376,8.006,165.251
Hoče - Slivnica,2023,15.261,12.336,61.37,1.431,9.152,199.929
Hoče - Slivnica,2024,14.4,11.734,63.412,0.542,6.775,187.759
Hoče - Slivnica,2025,12.411,10.334,68.664,0.531,5.775,176.8
Hrastnik,2020,15.796,11.932,48.361,1.754,10.228,174.187
Hrastnik,2021,17.378,12.355,58.049,1.586,9.628,225.116
Hrastnik,2022,17.175,13.844,65.698,1.499,6.219,159.47
Hrastnik,2023,16.606,13.032,65.183,1.422,6.875,191.183
Hrastnik,2024,13.868,11.313,66.156,0.477,3.999,177.842
Hrastnik,2025,11.683,9.706,71.271,0.456,3.305,167.592
Hrpelje - Kozina,2020,11.114,8.278,67.491,0.879,6.197,164.982
Hrpelje - Kozina,2021,12.832,8.243,66.433,1.05,8.014,199.9
Hrpelje - Kozina,2022,12.593,9.701,67.728,1.476,4.582,148.756
Hrpelje - Kozina,2023,12.752,9.89,72.833,1.894,5.91,182.574
Hrpelje - Kozina,2024,10.929,8.465,70.917,0.513,3.08,164.912
Hrpelje - Kozina,2025,9.011,7.167,75.993,0.422,2.515,157.282
