event_id,event_name,event_type,pollutant,display_unit,date_from,date_to,day_index,region_code,region_name,value_mean,value_min,value_max,value_stdev,sample_count,no_data_count,data_mask_valid_count,source,aggregation_interval,quality_status
spar_fire_2025,SPAR/BTC fire,industrial_fire,CO,mmol/m²,2025-12-20T00:00:00Z,2025-12-21T00:00:00Z,20,SI031,Pomurska,31.5353006318018,29.151011258363724,32.78497979044914,0.9588993075406165,128,51,77,Sentinel Hub Statistical API / Sentinel-5P,P1D,good
spar_fire_2025,SPAR/BTC fire,industrial_fire,CO,mmol/m²,2025-12-21T00:00:00Z,2025-12-22T00:00:00Z,21,SI031,Pomurska,28.787924181215647,27.144283056259155,30.859757214784622,0.841972524508312,128,46,82,Sentinel Hub Statistical API / Sentinel-5P,P1D,good
spar_fire_2025,SPAR/BTC fire,industrial_fire,CO,mmol/m²,2025-12-22T00:00:00Z,2025-12-23T00:00:00Z,22,SI031,Pomurska,29.72719059666482,27.157345786690712,33.84941443800926,1.6317453743858112,128,46,82,Sentinel Hub Statistical API / Sentinel-5P,P1D,good
spar_fire_2025,SPAR/BTC fire,industrial_fire,CO,mmol/m²,2025-12-23T00:00:00Z,2025-12-24T00:00:00Z,23,SI031,Pomurska,30.130625882696716,24.477306753396988,35.623062402009964,2.765273630349235,128,66,62,Sentinel Hub Statistical API / Sentinel-5P,P1D,partial
spar_fire_2025,SPAR/BTC fire,industrial_fire,CO,mmol/m²,2025-12-24T00:00:00Z,2025-12-25T00:00:00Z,24,SI031,Pomurska,35.73994884888331,31.734619289636612,40.070924907922745,2.8437653445212097,128,113,15,Sentinel Hub Statistical API / Sentinel-5P,P1D,partial
spar_fire_2025,SPAR/BTC fire,industrial_fire,CO,mmol/m²,2025-12-25T00:00:00Z,2025-12-26T00:00:00Z,25,SI031,Pomurska,32.18647144161739,30.30320629477501,33.85281190276146,0.9284194665429353,128,63,65,Sentinel Hub Statistical API / Sentinel-5P,P1D,good
spar_fire_2025,SPAR/BTC fire,industrial_fire,CO,mmol/m²,2025-12-26T00:00:00Z,2025-12-27T00:00:00Z,26,SI031,Pomurska,32.40278926564427,29.58184853196144,34.77754071354866,1.4033785695045382,128,46,82,Sentinel Hub Statistical API / Sentinel-5P,P1D,good
spar_fire_2025,SPAR/BTC fire,industrial_fire,CO,mmol/m²,2025-12-27T00:00:00Z,2025-12-28T00:00:00Z,27,SI031,Pomurska,30.767855043076484,23.749228566884995,36.75289824604988,3.0959560599443474,128,55,73,Sentinel Hub Statistical API / Sentinel-5P,P1D,good
spar_fire_2025,SPAR/BTC fire,industrial_fire,CO,mmol/m²,2025-12-28T00:00:00Z,2025-12-29T00:00:00Z,28,SI031,Pomurska,35.53179485930336,26.46956406533718,42.8987555205822,3.884726007263061,128,47,81,Sentinel Hub Statistical API / Sentinel-5P,P1D,good
spar_fire_2025,SPAR/BTC fire,industrial_fire,CO,mmol/m²,2025-12-29T00:00:00Z,2025-12-30T00:00:00Z,29,SI031,Pomurska,30.37782566001018,24.722766131162643,33.3264134824276,1.6140050265077435,128,68,60,Sentinel Hub Statistical API / Sentinel-5P,P1D,partial
spar_fire_2025,SPAR/BTC fire,industrial_fire,CO,mmol/m²,2025-12-30T00:00:00Z,2025-12-31T00:00:00Z,30,SI031,Pomurska,32.09609776321385,29.44851480424404,35.15481576323509,1.987789699081548,128,92,36,Sentinel Hub Statistical API / Sentinel-5P,P1D,partial
spar_fire_2025,SPAR/BTC fire,industrial_fire,CO,mmol/m²,2025-12-31T00:00:00Z,2026-01-01T00:00:00Z,31,SI031,Pomurska,34.93788403769333,33.479683101177216,36.00480407476425,0.8541741814206271,128,110,18,Sentinel Hub Statistical API / Sentinel-5P,P1D,partial
spar_fire_2025,SPAR/BTC fire,industrial_fire,CO,mmol/m²,2025-12-01T00:00:00Z,2025-12-02T00:00:00Z,1,SI032,Podravska,,,,,180,180,0,Sentinel Hub Statistical API / Sentinel-5P,P1D,missing
spar_fire_2025,SPAR/BTC fire,industrial_fire,CO,mmol/m²,2025-12-02T00:00:00Z,2025-12-03T00:00:00Z,2,SI032,Podravska,28.3209270073308,24.683944880962372,34.51487794518471,1.9996929159697492,180,90,90,Sentinel Hub Statistical API / Sentinel-5P,P1D,good
spar_fire_2025,SPAR/BTC fire,industrial_fire,CO,mmol/m²,2025-12-03T00:00:00Z,2025-12-04T00:00:00Z,3,SI032,Podravska,30.25252616831235,28.264421969652176,31.510423868894577,0.8595048006242147,180,75,105,Sentinel Hub Statistical API / Sentinel-5P,P1D,good
spar_fire_2025,SPAR/BTC fire,industrial_fire,CO,mmol/m²,2025-12-04T00:00:00Z,2025-12-05T00:00:00Z,4,SI032,Podravska,,,,,180,180,0,Sentinel Hub Statistical API / Sentinel-5P,P1D,missing
spar_fire_2025,SPAR/BTC fire,industrial_fire,CO,mmol/m²,2025-12-05T00:00:00Z,2025-12-06T00:00:00Z,5,SI032,Podravska,,,,,180,180,0,Sentinel Hub Statistical API / Sentinel-5P,P1D,missing
spar_fire_2025,SPAR/BTC fire,industrial_fire,CO,mmol/m²,2025-12-06T00:00:00Z,2025-12-07T00:00:00Z,6,SI032,Podravska,31.579224920521195,28.08217890560627,37.0464064180851,1.8271351616468505,180,60,120,Sentinel Hub Statistical API / Sentinel-5P,P1D,good
spar_fire_2025,SPAR/BTC fire,industrial_fire,CO,mmol/m²,2025-12-07T00:00:00Z,2025-12-08T00:00:00Z,7,SI032,Podravska,30.7776740682061,25.080157443881035,35.40031611919403,2.6602912416047007,180,87,93,Sentinel Hub Statistical API / Sentinel-5P,P1D,good
spar_fire_2025,SPAR/BTC fire,industrial_fire,CO,mmol/m²,2025-12-08T00:00:00Z,2025-12-09T00:00:00Z,8,SI032,Podravska,,,,,180,180,0,Sentinel Hub Statistical API / Sentinel-5P,P1D,missing
spar_fire_2025,SPAR/BTC fire,industrial_fire,CO,mmol/m²,2025-12-09T00:00:00Z,2025-12-10T00:00:00Z,9,SI032,Podravska,30.778050422668457,30.778050422668457,30.778050422668457,0.0,180,179,1,Sentinel Hub Statistical API / Sentinel-5P,P1D,partial
spar_fire_2025,SPAR/BTC fire,industrial_fire,CO,mmol/m²,2025-12-10T00:00:00Z,2025-12-11T00:00:00Z,10,SI032,Podravska,29.21510563380476,26.772188022732735,33.384546637535095,1.4761348660194678,180,111,69,Sentinel Hub Statistical API / Sentinel-5P,P1D,partial
spar_fire_2025,SPAR/BTC fire,industrial_fire,CO,mmol/m²,2025-12-11T00:00:00Z,2025-12-12T00:00:00Z,11,SI032,Podravska,27.787259389315885,21.923167631030083,32.562777400016785,2.4157226837409245,180,118,62,Sentinel Hub Statistical API / Sentinel-5P,P1D,partial
spar_fire_2025,SPAR/BTC fire,industrial_fire,CO,mmol/m²,2025-12-12T00:00:00Z,2025-12-13T00:00:00Z,12,SI032,Podravska,28.008306934002857,21.926671266555786,32.17824175953865,2.3758122437439986,180,86,94,Sentinel Hub Statistical API / Sentinel-5P,P1D,good
